,ISO_A3,ai_blds_2024,blds_total,ai_percentage,ai_per_roun,non_ai_blds_2024,total_OSM_users,avg_OSM_users_month,pop_2022,hdi_2021,disaster_death_per_100k,disaster_death,hdi_2021_norm,disaster_death_per_100k_norm,avg_OSM_users_month_norm
105,BGR,60201.0,624391.0,9.641554730929817,9.642,564190.0,3235.0,161.75,6465097.0,0.795,19.87595855,1285.0,0.5850552609876694,0.8396530890740326,-0.13782957266696014
106,THA,55863.0,982736.0,5.684436104915257,5.684,926873.0,5638.0,281.9,71697030.0,0.8,0.157607644,113.0,0.6131411410637272,-0.31349055402243764,0.057278605641380397
107,SMR,0.0,6473.0,0.0,0.0,6473.0,148.0,7.4,33660.0,0.853,0.0,0.0,0.9108514698699391,-0.3227075647982581,-0.38847416128029655
108,HTI,50.0,1227674.0,0.004072742438139115,0.004,1227624.0,806.0,40.3,11584996.0,0.535,28.07079087,3252.0,-0.8754105029673345,1.318892901830081,-0.33504878411554906
109,DOM,500.0,136798.0,0.3655024196260179,0.366,136298.0,1668.0,83.4,11228821.0,0.767,0.730263667,82.0,0.42777433256174574,-0.2800012092110305,-0.2650599161580836
110,TCD,21113.0,1483067.0,1.4236039234909819,1.424,1461954.0,3085.0,154.25,17723315.0,0.394,1.122814778,199.0,-1.6674323211121636,-0.257044531931169,-0.15000861001454693
111,KWT,0.0,174726.0,0.0,0.0,174726.0,636.0,31.8,4268873.0,0.831,0.023425387,1.0,0.7872735975352848,-0.3213376309617573,-0.3488516931094808
112,SLV,5747.0,594747.0,0.9662932305669469,0.966,589000.0,7175.0,358.75,6336392.0,0.675,1.641312596,104.0,-0.08900586083771696,-0.22672239872457522,0.18207314166298655
113,GTM,2137.0,3381800.0,0.06319119995268792,0.063,3379663.0,20457.0,1022.85,17357886.0,0.627,5.023653226,872.0,-0.35863030956787173,-0.028920634527113853,1.2604863020006394
114,TLS,7.0,357660.0,0.00195716602359783,0.002,357653.0,1064.0,53.2,1341296.0,0.607,4.771504575,64.0,-0.4709738298721029,-0.0436664728277968,-0.3141008398776998
115,BRN,132.0,51835.0,0.25465419118356325,0.255,51703.0,216.0,10.8,449002.0,0.829,0.0,0.0,0.7760392455048617,-0.3227075647982581,-0.38295299768272384
116,MCO,0.0,11551.0,0.0,0.0,11551.0,198.0,9.9,36469.0,0.0,0.0,0.0,-3.8805996711055153,-0.3227075647982581,-0.38441448216443425
117,DZA,1123493.0,4000350.0,28.08486757408727,28.085,2876857.0,2529.0,126.45,44903225.0,0.745,0.452083341,203.0,0.30419646022709146,-0.2962693989846385,-0.19515224178293536
118,MOZ,5529.0,3660903.0,0.151028311867318,0.151,3655374.0,2878.0,143.9,32969518.0,0.446,3.539633185,1167.0,-1.3753391683211629,-0.11570721646111291,-0.16681568155421672
119,SWZ,2.0,588575.0,0.00033980376332667884,0.0,588573.0,322.0,16.1,1201670.0,0.597,0.0,0.0,-0.5271455900242185,-0.3227075647982581,-0.37434647795709586
120,BDI,1517.0,652007.0,0.2326662137062946,0.233,650490.0,718.0,35.9,12889576.0,0.426,0.674964017,87.0,-1.487682688625394,-0.2832351733577764,-0.3421938193594667
121,RWA,4965.0,874973.0,0.5674460811933626,0.567,870008.0,2004.0,100.2,13776698.0,0.534,2.721987518,375.0,-0.881027678982546,-0.16352373558592087,-0.23777887249948917
122,MMR,314.0,2858893.0,0.010983272196615962,0.011,2858579.0,1766.0,88.3,54179306.0,0.585,1.059445095,574.0,-0.5945517022067571,-0.26075043753477867,-0.2571029450909935
123,BGD,67212.0,10016163.0,0.6710354054741322,0.671,9948951.0,8211.0,410.55,171186372.0,0.661,0.579485381,992.0,-0.16764632505067875,-0.2888188341151991,0.26618969294365274
124,AND,0.0,5654.0,0.0,0.0,5654.0,342.0,17.1,79824.0,0.858,0.0,0.0,0.9389373499459969,-0.3227075647982581,-0.37272260631075094
125,AFG,3557.0,1792515.0,0.19843627528918864,0.198,1788958.0,1425.0,71.25,41128771.0,0.478,12.4146671,5106.0,-1.1955895358343933,0.40331128514358866,-0.28478995666117424
126,MNE,9636.0,156087.0,6.173480174518057,6.173,146451.0,1555.0,77.75,617213.0,0.832,8.100931121,50.0,0.7928907735504964,0.151040836874674,-0.2742347909599323
127,BIH,966.0,996826.0,0.0969075846737545,0.097,995860.0,1930.0,96.5,3233526.0,0.78,0.123703969,4.0,0.500797620759496,-0.3154732658369414,-0.24378719759096532
128,UGA,81416.0,8086127.0,1.0068602682099848,1.007,8004711.0,4868.0,243.4,47249585.0,0.525,6.256139604,2956.0,-0.93158226311945,0.043156074056119285,-0.005240452742898477
129,CUB,19088.0,413730.0,4.61363691296256,4.614,394642.0,2742.0,137.1,11212191.0,0.764,0.267565902,30.0,0.4109228045161111,-0.307060114335918,-0.1778580087493621
130,HND,3681.0,1314552.0,0.28001935260073396,0.28,1310871.0,6259.0,312.95,10432860.0,0.621,2.731753326,285.0,-0.39233336565914106,-0.16295262396159765,0.10769982026038978
131,ECU,11654.0,756544.0,1.540425936891972,1.54,744890.0,4853.0,242.65,18001000.0,0.74,1.283262041,231.0,0.2761105801510337,-0.24766145815067456,-0.006458356477657157
132,COL,121524.0,2410381.0,5.041692578891055,5.042,2288857.0,6951.0,347.55,51874024.0,0.752,1.10845459,575.0,0.3435166923335724,-0.25788432627222774,0.1638857792239236
133,PRY,2166.0,1282747.0,0.16885636840312238,0.169,1280581.0,1750.0,87.5,6780744.0,0.717,1.12082096,76.0,0.14691553180116787,-0.2571611318721656,-0.25840204240806947
135,PRT,30154.0,1657812.0,1.8189034703573144,1.819,1627658.0,8500.0,425.0,10409704.0,0.866,21.31664839,2219.0,0.9838747580676894,0.9239056890297498,0.28965463823333665
136,MDA,6192.0,639865.0,0.9677041250888859,0.968,633673.0,1649.0,82.45,2538894.0,0.767,0.157548917,4.0,0.42777433256174574,-0.31349398842052956,-0.2666025942221113
137,TKM,3535.0,100227.0,3.5269937242459615,3.527,96692.0,732.0,36.6,6430770.0,0.745,0.0,0.0,0.30419646022709146,-0.3227075647982581,-0.34105710920702526
138,JOR,617.0,214167.0,0.2880929368203318,0.288,213550.0,1003.0,50.15,11285869.0,0.72,0.301261693,34.0,0.16376705984680254,-0.3050895597304143,-0.31905364839905176
