country_iso_a3,year,month,n_users
DNK,2022,7,405
DNK,2022,8,463
DNK,2022,9,402
DNK,2022,10,367
DNK,2022,11,337
DNK,2022,12,276
DNK,2023,1,290
DNK,2023,2,278
DNK,2023,3,278
DNK,2023,4,331
DNK,2023,5,346
DNK,2023,6,299
DNK,2023,7,485
DNK,2023,8,319
DOM,2022,1,106
DOM,2022,2,160
DOM,2022,3,137
DOM,2022,4,47
DOM,2022,5,62
DOM,2022,6,38
DOM,2022,7,52
DOM,2022,8,44
DOM,2022,9,151
DOM,2022,10,199
DOM,2022,11,136
DOM,2022,12,52
DOM,2023,1,69
DOM,2023,2,47
DOM,2023,3,62
DOM,2023,4,56
DOM,2023,5,56
DOM,2023,6,59
DOM,2023,7,88
DOM,2023,8,47
DZA,2022,1,125
DZA,2022,2,116
DZA,2022,3,108
DZA,2022,4,108
DZA,2022,5,113
DZA,2022,6,116
DZA,2022,7,124
DZA,2022,8,120
DZA,2022,9,108
DZA,2022,10,135
DZA,2022,11,107
DZA,2022,12,137
DZA,2023,1,193
DZA,2023,2,146
DZA,2023,3,172
DZA,2023,4,119
DZA,2023,5,128
DZA,2023,6,135
DZA,2023,7,130
DZA,2023,8,89
ECU,2022,1,213
ECU,2022,2,240
ECU,2022,3,187
ECU,2022,4,197
ECU,2022,5,223
ECU,2022,6,168
ECU,2022,7,258
ECU,2022,8,242
ECU,2022,9,232
ECU,2022,10,176
ECU,2022,11,187
ECU,2022,12,181
ECU,2023,1,194
ECU,2023,2,183
ECU,2023,3,338
ECU,2023,4,345
ECU,2023,5,294
ECU,2023,6,438
ECU,2023,7,364
ECU,2023,8,193
EGY,2022,1,118
EGY,2022,2,100
EGY,2022,3,127
EGY,2022,4,102
EGY,2022,5,94
EGY,2022,6,93
EGY,2022,7,96
EGY,2022,8,100
EGY,2022,9,194
EGY,2022,10,139
EGY,2022,11,178
EGY,2022,12,203
EGY,2023,1,356
EGY,2023,2,336
EGY,2023,3,355
EGY,2023,4,583
EGY,2023,5,409
EGY,2023,6,210
EGY,2023,7,174
EGY,2023,8,97
ERI,2022,1,22
ERI,2022,2,11
ERI,2022,3,10
ERI,2022,4,11
ERI,2022,5,17
ERI,2022,6,11
ERI,2022,7,11
ERI,2022,8,13
ERI,2022,9,4
ERI,2022,10,9
ERI,2022,11,14
ERI,2022,12,13
ERI,2023,1,11
ERI,2023,2,10
ERI,2023,3,17
ERI,2023,4,18
ERI,2023,5,10
ERI,2023,6,18
ERI,2023,7,15
ERI,2023,8,4
ESP,2022,1,1214
ESP,2022,2,1177
ESP,2022,3,1250
ESP,2022,4,1309
ESP,2022,5,1342
ESP,2022,6,1200
ESP,2022,7,1210
ESP,2022,8,1335
ESP,2022,9,1255
ESP,2022,10,1472
ESP,2022,11,1412
ESP,2022,12,1306
ESP,2023,1,1384
ESP,2023,2,1339
ESP,2023,3,1389
ESP,2023,4,1439
ESP,2023,5,1438
ESP,2023,6,1278
ESP,2023,7,1338
ESP,2023,8,1048
EST,2022,1,105
EST,2022,2,70
EST,2022,3,75
EST,2022,4,75
EST,2022,5,106
EST,2022,6,107
EST,2022,7,117
EST,2022,8,117
EST,2022,9,108
EST,2022,10,116
EST,2022,11,82
EST,2022,12,94
EST,2023,1,109
EST,2023,2,111
EST,2023,3,90
EST,2023,4,101
EST,2023,5,93
EST,2023,6,101
EST,2023,7,137
EST,2023,8,102
ETH,2022,1,135
ETH,2022,2,155
ETH,2022,3,147
ETH,2022,4,102
ETH,2022,5,119
ETH,2022,6,101
ETH,2022,7,108
ETH,2022,8,95
ETH,2022,9,71
ETH,2022,10,81
ETH,2022,11,115
ETH,2022,12,84
ETH,2023,1,96
ETH,2023,2,146
ETH,2023,3,860
ETH,2023,4,476
ETH,2023,5,500
ETH,2023,6,322
ETH,2023,7,143
ETH,2023,8,110
FIN,2022,1,472
FIN,2022,2,396
FIN,2022,3,411
FIN,2022,4,414
FIN,2022,5,488
FIN,2022,6,541
FIN,2022,7,553
FIN,2022,8,576
FIN,2022,9,520
FIN,2022,10,595
FIN,2022,11,509
FIN,2022,12,418
FIN,2023,1,492
FIN,2023,2,430
FIN,2023,3,452
FIN,2023,4,445
FIN,2023,5,538
FIN,2023,6,585
FIN,2023,7,626
FIN,2023,8,464
FJI,2022,1,79
FJI,2022,2,31
FJI,2022,3,28
FJI,2022,4,37
FJI,2022,5,67
FJI,2022,6,35
FJI,2022,7,24
FJI,2022,8,37
FJI,2022,9,30
FJI,2022,10,29
FJI,2022,11,46
FJI,2022,12,81
FJI,2023,1,45
FJI,2023,2,35
FJI,2023,3,45
FJI,2023,4,38
FJI,2023,5,40
FJI,2023,6,32
FJI,2023,7,32
FJI,2023,8,30
FLK,2022,1,10
FLK,2022,2,4
FLK,2022,3,5
FLK,2022,4,7
FLK,2022,5,6
FLK,2022,6,3
FLK,2022,7,3
FLK,2022,8,5
FLK,2022,9,2
FLK,2022,10,8
FLK,2022,11,11
FLK,2022,12,9
FLK,2023,1,14
FLK,2023,2,8
FLK,2023,3,10
FLK,2023,4,5
FLK,2023,5,7
FLK,2023,6,6
FLK,2023,7,10
FLK,2023,8,6
FRA,2022,1,3540
FRA,2022,2,3382
FRA,2022,3,3771
FRA,2022,4,3753
FRA,2022,5,3791
FRA,2022,6,3535
FRA,2022,7,3865
FRA,2022,8,4415
FRA,2022,9,3756
FRA,2022,10,3769
